,beer_names,style,07-30-2022
430,When I Surfed the Sky,IPA - Imperial / Double,4.26
431,Root Beer Float Skillet,Stout - Coffee,3.73
432,Maple Bacon Donut Aged Skillet,Stout - Other,4.07
433,Unto Luminous Depths,Sour - Other,4.03
434,Tiny Haunting Specks of Life,Sour - Other,
435,An Unquenchable Fire,Farmhouse Ale - Saison,3.72
436,A Taste of Obliteration,Sour - Other,3.89
437,The Oracle's Possessor,Farmhouse Ale - Saison,3.87
438,Anno Domini MMXVIII,Sour - Other,4.1
439,Mexican Cake Skillet,Stout - Other,4.32
440,Everything Is Roses,Stout - Imperial / Double,3.85
441,Bloodtusk Keller Pils,Pilsner - German,3.76
442,Hysteria At Dawn,Red Ale - American Amber / Red,3.65
443,Celestial Effigy,Pale Ale - American,
444,Saison Du VIVIAN,Farmhouse Ale - Saison,4.0
445,The Power of People,Pale Ale - American,3.55
446,Voodoo Woman,Stout - Imperial / Double,
447,Martyrs of the Resistance,IPA - Imperial / Double,4.0
448,The Ballad of Chaos,Brown Ale - Imperial / Double,4.22
449,Prismatic Visions,IPA - Imperial / Double,4.28
450,Portal To Transgression,Porter - American,3.95
451,Sanctuary of Shadows,Lager - Dark,3.7
452,By Decree of the Goddess,Farmhouse Ale - Saison,3.81
453,Banished To Silence,IPA - American,3.73
454,Opus of the Bleeding Orb,Farmhouse Ale - Saison,3.91
455,The Tranquility Amid Terror,IPA - American,4.09
456,The Conception of Entropy,Mild - Other,3.65
457,An Uncharted Depth,Farmhouse Ale - Saison,3.79
458,Slaughtered Fates,Sour - Other,4.05
459,Premium Lager,Lager - American Light,3.7
460,Orange Creamsicle,Sour - Berliner Weisse,
461,A Closed Mind Withers,Farmhouse Ale - Saison,
462,Baptized In Blood,Wheat Beer - Witbier / Blanche,3.58
463,Terrestrial Paradise 2018,Pale Ale - American,3.93
464,A Manifestation of Time,Lager - Vienna,3.73
465,Otherworldly Entities,Farmhouse Ale - Saison,3.8
466,From Graves of Valor,Sour - Other,4.07
467,Behind Closed Eyelids,Wild Ale - American,
468,Beneath Cascading Tides,Sour - Other,4.19
469,Resurrection of Riches,Pale Ale - American,3.9
470,Thin Blades of Obsidian,Farmhouse Ale - Saison,3.77
471,Structure Melt And Diffuse,Pale Ale - American,3.88
472,Sword of Crucifixion Golden Sour Ale,Sour - Other,4.05
473,A Violent Voyage To Impermanence,IPA - Imperial / Double,4.13
474,Vivid Portents of Doom,Sour - Other,4.12
475,Proof,Belgian Quadrupel,
476,Heaven Becomes Me,Sour - Other,4.05
477,Divine Beasts,Lager - American Light,3.66
478,The Brutality of Gazing Into Death,IPA - Imperial / Double,4.19
479,The Mortal Dimensions of the Spiritual,IPA - American,4.04
480,Merciless Disciple,Blonde Ale,3.47
481,Oasis of Imagination,Lager - Pale,3.73
482,Dawn For the Departed,IPA - American,4.23
483,Fresh Hop Shadowclock,Pilsner - German,3.92
484,Tome of the Wild Woods,Porter - American,
485,Of Strength And Solace,Farmhouse Ale - Saison,3.88
486,Its A Wash,Sour - Other,
487,Creature Comforts Oktoberfest,Märzen,3.61
488,The Entrails of the Perished,IPA - Imperial / Double,4.21
489,Metallic Vessels,Lager - American,4.02
490,Suffused With Profound Ritual,Farmhouse Ale - Saison,3.87
491,Asymmetrical Anguish,Mild - Other,3.73
492,This Is Bob,IPA - Imperial / Double,4.2
493,Vibrant Feedback,Lager - Amber,3.75
494,The Remains With Coffee,Belgian Dubbel,4.04
495,Sidra,Cider - Traditional / Apfelwein,3.36
496,Censured For Vices,Lager - Pale,3.78
497,Our Hearts of Ruin,Pilsner - Other,3.97
498,Feast From the Slaughter,Barleywine - American,4.27
499,Dominions of Light,Sour - Berliner Weisse,3.36
500,Labyrinth of the Moon,Sour - Fruited,
501,Disciples of Evil,IPA - Imperial / Double,4.15
502,The Bad Luck Lullaby,Sour - Other,
503,Ceremony of Exhumation,Farmhouse Ale - Saison,4.26
504,The Forever Nothing,Pale Ale - American,3.75
505,Nostalgia of the Revenant,Brown Ale - American,4.0
506,Feast Upon the Slaughter,Barleywine - English,4.18
507,Isn't Anything,IPA - Imperial / Double,4.05
508,Static At the Bend,Sour - Other,4.11
509,The Surface of Sanity,Sour - Other,4.08
510,Scythewine,Barleywine - Other,
511,Tapestries of Torture,Sour - Fruited,
512,Tessellation of Space,Stout - Imperial / Double,4.11
513,Triumph of Death (2019),Farmhouse Ale - Saison,
514,Like Everlasting Shadows,Bock - Doppelbock,3.95
515,Wandering And Cosmic Consciousness,Belgian Enkel / Patersbier,3.69
516,The Mutilation,IPA - Imperial / Double,4.26
517,Isn't Anyththing Botanical,IPA - Imperial / Double,3.96
518,Lurking In the Moonshadow,Porter - American,3.81
519,Land of Eternity,Lager - American,3.67
520,Oblique Passages To Nowhere,Sour - Berliner Weisse,4.01
521,Inhabited By Ghosts,IPA - Imperial / Double,4.3
522,Mustache With A Gun,Sour - Other,3.95
523,The Carnage We Left Behind,Sour - Fruited,
524,Working In the Shadow,Porter - Other,
525,I Used To Be An Athlete,IPA - Imperial / Double,4.41
526,Eyes Like the Sky,Farmhouse Ale - Saison,3.64
527,The Crown of Divination,Stout - Imperial / Double,4.02
528,Liturgy of the Forever Silenced,IPA - Triple,4.39
529,These Incendiary Devices,IPA - American,4.11
530,Before the Descent To Hell,Sour - Flanders Oud Bruin,3.92
531,Andes Mint Skillet Donut Stout,Stout - Coffee,4.27
532,Reflections In A Mirage,Sour - Other,3.22
533,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02
534,Oaken Chalice,Farmhouse Ale - Grisette,3.83
535,The Rise of the Merciless,Farmhouse Ale - Saison,4.14
536,Of Dust And Discontent,Lager - Pale,3.78
537,The Solace Among Slaughterous Rage,IPA - Imperial / Double,4.21
538,Death Is But A Door,IPA - Black / Cascadian Dark Ale,3.95
539,Cavities of Bloodshed,IPA - Imperial / Double,4.17
540,Drop the Guillotine,IPA - Imperial / Double,4.23
541,Ritual Anonymity,Pilsner - Other,3.9
542,Torrent of Souls,Farmhouse Ale - Saison,4.03
543,Ancient Rituals,Sour - Other,3.96
544,The Ultimate Ride,IPA - American,3.88
545,Three Dimensional,Pilsner - Other,3.83
546,Talonsword,IPA - Imperial / Double,4.19
547,The Righteous And Barbaric Souls,Stout - Imperial / Double,4.21
548,Irish Coffee,Stout - Coffee,4.28
549,Sour Amaro Ale,Sour - Other,2.5
550,The Perished Vision Remains,Sour - Other,3.75
551,Dragonfruit,IPA - American,
552,The Requiem,Shandy / Radler,3.93
553,Cloaked In Deceit,Farmhouse Ale - Saison,4.09
554,Concepts of Dismemberment,IPA - Imperial / Double,4.23
555,The End Is Never Near,IPA - Session,3.93
556,Double IPA W/Pineapple And Mango,IPA - Imperial / Double,4.05
557,Lake of Eternal Shadows Dopplesticke Lager,Lager - Dark,3.94
558,Vividly Depicted Hauntings,IPA - American,4.22
559,An Abstract Reverie,Farmhouse Ale - Saison,3.64
560,The Realm of Absolute Nothingness,Stout - Imperial / Double,4.42
561,Reverence of the Wren,Stout - Imperial / Double,3.98
562,Camp Kolsch,Kölsch,3.79
563,Hymn of the Serpent,Stout - Foreign / Export,4.1
564,The Allegory of Immortality,Sour - Other,4.07
565,Crypt of Thorns,Märzen,3.75
566,Born From Death,Farmhouse Ale - Saison,3.82
567,Difficulties In Comprehension,IPA - Imperial / Double,4.16
568,A Cursed Path to Nowhere,Stout - Imperial / Double,4.41
569,The River of Transcendence,IPA - American,4.07
570,The Departure of Souls,IPA - American,4.08
571,Vulgarity of Haste,Farmhouse Ale - Grisette,
572,Feral Gates of Flesh,Sour - Other,4.09
573,Difficulties In Comprehension (Oolong Variant),IPA - Imperial / Double,4.04
574,Difficulties In Comprehension (Limoncello Variant),IPA - Imperial / Double,4.05
575,The Decapitation of Morbidity,IPA - American,4.19
576,The Garden of Earthly Delights V (2019),Farmhouse Ale - Saison,4.11
577,Enlightened By the Distortion,Farmhouse Ale - Saison,
578,The River of Transcendence,IPA - American,4.03
579,The Departure of Souls,IPA - American,4.06
580,Display of Vulgarities,IPA - Imperial / Double,4.25
581,Vicious Cycle,IPA - Imperial / Double,4.17
582,The Orphans of Consciousness,Sour - Other,4.11
583,An Abyss of Human Experience,IPA - Triple,4.38
584,Idol For None,Stout - Imperial / Double,4.43
585,Through the Gates of the Sleepy Silver Door,Pale Ale - American,3.98
586,The Trance of Expanding Light,Pale Ale - American,4.0
587,Jet Black Hallucinations,Porter - American,3.61
588,Skrileleet,Stout - American,
589,Death And the Miser (2018 Vintage),Sour - Other,4.18
590,Ascent of the Blessed (2019),Sour - Other,4.07
591,This Immortal Coil,Lager - IPL (India Pale Lager),3.93
592,Until There Is No Longer,IPA - American,4.22
593,Krystal Artifakts,IPA - American,4.06
594,No Dawn,Malt Liquor,3.71
595,The Pall of Ominous Aura,IPA - American,3.9
596,Black Coffee Lager,Lager - Dark,4.15
597,Yeast of Eden,Farmhouse Ale - Saison,
598,Anno Domini MMXIX,Stout - Imperial / Double,4.41
599,Sixth Passing,IPA - Imperial / Double,4.29
600,Ain't It Wild,IPA - Imperial / Double,3.98
601,Heavy,Lager - American Light,3.83
602,Fall of the Damned (2019),Sour - Other,4.22
603,Fall of the Rebel Angels (2019 Release),Sour - Other,4.05
604,Repentance,Sour - Other,4.26
605,Modern Savage,Sour - Other,
606,Before I Fade From Consciousness,IPA - American,3.86
607,Remnants of the Kill,IPA - Imperial / Double,4.2
608,Parallel Delusions,Wheat Beer - Other,3.71
609,Blended Golden Sour With Chokeberries,Sour - Other,3.77
610,The Things We Conjure,IPA - American,4.19
611,Sixth Sense,IPA - Session,
612,The Abomination,IPA - New England / Hazy,
613,A State of Utter Savagery,Sour - Other,4.07
614,A Portal Towards Nonexistence,Stout - Imperial / Double,4.44
615,I've Been Called Worse,Sour - Other,4.19
616,Those Who Made It Out,IPA - Imperial / Double,4.23
617,The Endless Suffer,Pilsner - Other,3.81
618,Adoration of the Mystical Melon,IPA - American,4.06
619,Beyond the Fields We Know,Pale Ale - American,3.93
620,Deathstalker,IPA - American,4.15
621,Sixth Cycle,IPA - Imperial / Double,
622,I Think We Should Go Home,IPA - Imperial / Double,4.37
623,The Mayhem of Endless Nonsense,Stout - Imperial / Double,4.35
624,Tapestries of Torture,Sour - Other,4.05
625,Of Strength And Solace,Sour - Other,4.02
626,Other Forms of Evil,Pilsner - Other,3.96
627,The Venom Vigil,IPA - Imperial / Double,4.17
628,Into the Eyes of the Maker,Sour - Fruited,4.01
629,What We Imagined,IPA - American,4.02
630,To Forsake These Demented Ramblings,IPA - American,4.07
631,I'm Actually Feeling Like All Is Right With the World And None of This Matters,Stout - Imperial / Double,4.5
632,Stop Thinking About What You Want,Stout - Imperial / Double,4.47
633,Paracosm of the Grotesque,IPA - Imperial / Double,4.22
634,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14
635,Sezion Fillion,Farmhouse Ale - Saison,3.8
636,Something Pure,Lager - American,3.77
637,Allured By the Endless Void,Sour - Berliner Weisse,3.87
638,Mystic Circles of Severed Dreams,IPA - Imperial / Double,4.28
639,Salted Caramel Peanut Butter,Stout - Imperial / Double,
640,In the Fall of Our Truth,IPA - American,4.21
641,Tempest of the Swelling Sea,Sour - Other,3.92
642,Into the Hereafter,Pale Ale - American,3.84
643,Dead Meadow,Pale Ale - American,
644,Kilometer Zero,Pilsner - Other,3.52
645,Ample Absurdity,Bock - Doppelbock,3.91
646,Celestial Altar,IPA - American,4.26
647,Sideways,Mild - Other,3.7
648,Fabrications of the Nonbeliever,Stout - Imperial / Double,4.5
649,Illogical Rantings of Non-Sequitur,Stout - Imperial / Double,4.39
650,Exodus of Salvation,Sour - Fruited,4.07
651,The Echoing Call of the Ever Creeping Sloth,Lager - Pale,3.77
652,The Objects We Hold Dear,Sour - Other,3.95
653,The Perils of Living In Pretend,Sour - Fruited,4.0
654,Triumph of Death (2019),Sour - Other,3.97
655,Celestial Lager,IPA - American,
656,Chow Chow,IPA - American,3.9
657,Ballad of Broken Beaks,Golden Ale,3.88
658,These Portals Into Piercing Awakening,Porter - Baltic,4.12
659,Ruffian,IPA - Black / Cascadian Dark Ale,
660,Lethal Dose,IPA - Imperial / Double,4.05
661,The Allegory of Immortality,Sour - Other,4.15
662,Faint Glimpses of Fabled Musings,Sour - Other,
663,The Wild Yet Unforgotten,Sour - Other,
664,Existential Vapors,Smoked Beer,3.52
665,Catacombs of Righteousness,Porter - American,3.81
666,A Brutal Departure Nonetheless,Stout - Imperial / Double,4.39
667,Disciples of Agony,IPA - Imperial / Double,4.31
668,Lords of the Roost,IPA - American,4.04
669,Catacombs of Righteousness,Porter - Other,3.6
670,Asymmetrical Anguish With Coffee Bean,Mild - Other,3.66
671,A Moment For Introspection,Pale Ale - American,3.77
672,Bolo - Earl Grey Latte,Brown Ale - American,3.84
673,Bolo - Cocoa Seeds,Brown Ale - American,3.94
674,Bolo - Hawaiian,Brown Ale - American,3.89
675,Bolo - German Chocolate Cake,Brown Ale - American,4.03
676,Bolo - Horchata,Brown Ale - American,4.07
677,A Lethal Departure Nonetheless,Stout - Imperial / Double,
678,The Objects That We Hold Dear,Sour - Other,
679,The Exodus of Salvation,Sour - Other,3.89
680,Disciples of Tormenting Ruin,IPA - Imperial / Double,
681,Streak of Blood,IPA - Imperial / Double,4.01
682,Impaled By Indoctrination,IPA - American,3.99
683,ICED,Lager - American,3.7
684,Kilometer 0,Lager - Strong,
685,For Now We Are Laid To Rest,Brown Ale - Other,4.32
686,A Shrine of Nonexistence,Stout - Imperial / Double,4.5
687,Portal Beyond Nonexistence,Stout - Imperial / Double,4.54
688,The Brightly Lit Trail of the Dead,IPA - Imperial / Double,4.35
689,Under A Tide of Eternal Conquest,IPA - Imperial / Double,4.26
690,Sirens of Abstraction,Kellerbier / Zwickelbier,3.85
691,Tombs of Technicolor,Sour - Other,4.1
692,The Extinction of Useless Light,Sour - Other,4.12
693,The Nothing They Need,IPA - American,3.96
694,Mild Ale With Coffee,Traditional Ale,
695,Fragmented Shards of Subconscious,IPA - Imperial / Double,4.3
696,March Into Torture,Pale Ale - American,3.8
697,Death Letter Lager,Lager - Dark,
698,Two Things Together,IPA - American,3.85
699,To Wear the Feathers of Slain Beasts,Sour - Other,3.86
700,These Tombs of Technicolor,Sour - Other,3.92
701,This Is My Real Face,IPA - Imperial / Double,4.16
702,The Piercing Shrill of Resurrection,Farmhouse Ale - Saison,3.42
703,The Art of Dissonance,Lager - Amber,3.71
704,Warheads Aren't Make Believe,Sour - Other,
705,A Transfiguration of Conscious Avarice,Stout - Imperial / Double,4.28
706,The Steady Death,IPA - American,4.2
707,The Shadow of Our Final Days,IPA - Triple,4.42
708,The Martyr,Stout - Coffee,3.91
709,Things We Leave Behind,Sour - Other,
710,The Gravitational Pull of Inevitability,IPA - Imperial / Double,
711,Passageway To Apocalypse,IPA - Imperial / Double,4.09
712,Spiral,Pilsner - Other,3.69
713,Hollow of Despair,Sour - Other,3.97
714,Rotten Flesh of the Dead and Gone,Stout - Coffee,3.95
715,When You Lay In Your Grave,IPA - Imperial / Double,4.29
716,A Descriptive Nonsense of Deft Ease,IPA - American,
717,The Allure of Total Darkness,Sour - Other,4.34
718,This Earthen Helix of Death,IPA - Imperial / Double,4.26
719,Be Whatever You Shall Manifest,Brown Ale - Imperial / Double,4.25
720,Deliver Us To Evil,Stout - Imperial / Double,4.32
721,Teleportation To the Neverending,Stout - Imperial / Double,4.23
722,Celebration of Evil,Bock - Doppelbock,3.96
723,A Descriptive Nonsense of Deft Ease,Pale Ale - American,3.96
724,Forestry Camp Pils,Pilsner - Other,3.95
725,Extraterrestrial Occult,IPA - American,4.23
726,Coalescence of Hives,Sour - Other,3.94
727,Beyond the Rift,IPA - Triple,4.32
728,The Chorus of Chaos,Brown Ale - Imperial / Double,4.43
729,Glory Is Goldenbock,Bock - Hell / Maibock / Lentebock,3.82
730,Aimless And With Absolute Judgement,Sour - Fruited,4.03
731,Detroit Tiger Blood,Sour - Fruited,
732,Beach Waffles,Stout - American,4.44
733,Perils of Wrath,Sour - Other,3.94
734,Fantastical Apparitions of Nonesuch,Stout - Imperial / Double,4.46
735,Wildly Erratic Conspiracies of Nonesuch,Stout - Imperial / Double,4.4
736,Symptom of Progeny,Sour - Other,4.13
737,Coffeeclock,Pilsner - Other,
738,I Learned It By Watching You,IPA - Imperial / Double,4.31
739,Existential Dread,IPA - Imperial / Double,4.24
740,The Absolution,Brown Ale - American,3.76
741,"My Dreams, Come True",Stout - Imperial / Double,4.36
742,Who Knew,Stout - Imperial / Double,4.31
743,A Doom For the Superorganism,IPA - Imperial / Double,4.23
744,Apt Sacrifice,Lager - American,3.75
745,The Mercy,Porter - American,3.87
746,A Modern Ballad of Self-Torture,IPA - American,4.19
747,The Inception of Ritualistic Malice,IPA - American,4.11
748,A Righteousness All For Naught,Stout - Imperial / Double,4.41
749,Finite Spectrum of Existence,IPA - Triple,4.36
750,A Divine Intervention That Came To Naught,Stout - Imperial / Double,4.38
751,Feral Gates of Flesh,Sour - Other,3.99
752,When We Were the Sky,Sour - Traditional Gose,3.98
753,Rick's Wife's Nuts,Stout - American,4.27
754,Skillet Donut Stout (with Orange And Chocolate),Stout - American,4.04
755,Skillet Donut Stout (with Raspberry And Hazelnut),Stout - American,4.11
756,To Live With Hell Upon Us,IPA - Imperial / Double,4.3
757,The Penance,Mild - Other,3.74
758,A Place of Perpetual Ruin,IPA - Imperial / Double,4.2
759,Wounds That Cannot Heal,Sour - Other,3.93
760,Distributed Denial of Service,Kellerbier / Zwickelbier,3.93
761,Ascent of the Blessed (2020),Sour - Other,4.12
762,The Things Saved From Prayer,Sour - Fruited,4.1
763,Deauville Cocktail,Sour - Other,3.79
764,A Recurrent Plea,Lager - American,4.11
765,In the Company of Premonitions,IPA - American,3.86
766,Pitiless Indifference,Lager - Dark,3.94
767,Born Unto These Street Gutters,IPA - Imperial / Double New England / Hazy,4.31
768,Tonin' the Barbarian,IPA - American,4.16
769,Delusional Deformities,IPA - Imperial / Double,4.34
770,This Unraveling Mortality,Cider - Graff,3.38
771,Pathway of Supremacy,Pilsner - Other,3.99
772,Eternal Damnation,Farmhouse Ale - Saison,3.87
773,A Mortally Conscious Decay,IPA - Imperial / Double,4.33
774,"Everybody's Got To Live, Everybody's Got To Die",Stout - Imperial / Double,4.33
775,Disciples of Agony (2020 Release),IPA - Imperial / Double,4.34
776,A Departure From the Dawn,IPA - American,4.4
777,To Stand In the Shadow of Immortality,IPA - American,4.15
778,Tremé Pale Ale,Pale Ale - American,3.89
779,A Portal Beyond Nonexistence (2020 and onward),Stout - Imperial / Double,4.44
780,A Portal Into Infinite Nonexistence (2020 Release),Stout - Imperial / Double,4.47
781,The Atonement,Stout - Irish Dry,3.88
782,A Most Melancholy Visual,IPA - Imperial / Double New England / Hazy,4.38
783,The Separation Of Light And Darkness With Peaches (2019 Harvest),Farmhouse Ale - Saison,4.23
784,Camp Saison,Farmhouse Ale - Saison,4.12
785,Rationality Shall Run Its Course,IPA - American,4.24
786,Empire of Eternal Nothingness,Stout - Imperial / Double,4.52
787,The Stillness of a Personal Hell,IPA - Imperial / Double,4.31
788,All Together,IPA - New England / Hazy,4.22
789,Violent Contrasts And Sublime Beauty,IPA - New England / Hazy,4.16
790,The Beginning Is After the End,Porter - Coffee,4.14
791,Apostle For None,Stout - Imperial / Double,4.49
792,Ornaments of the Reckoning,Pilsner - Czech,4.1
793,Anatomical Transmutation,IPA - Imperial / Double,4.41
794,We Didn't Need A Real World,IPA - Triple,4.46
795,Tearing Flesh From Bone (2020 Release),IPA - Imperial / Double,4.29
796,Eighth Nail (Pine Box Collab),Sour - Fruited,4.19
797,A Silence Beyond Comprehension,IPA - American,4.28
798,I Was Particles Among the Sky And My Existence Became Nevermore,Stout - Imperial / Double Milk,4.48
799,Crown of Grudges,IPA - Imperial / Double,4.34
800,Fall of the Damned (2020 Release),Sour - Fruited,4.17
801,The Revival,Pale Ale - American,3.67
802,Exhumation of Restless Souls,Lager - Vienna,3.93
803,A Fall From Grace,Farmhouse Ale - Saison,3.94
804,What Came To Be,Farmhouse Ale - Saison,4.09
805,Seventh Passing,Stout - Imperial / Double,4.48
806,Amidst A Metaphorical Psychobabble,IPA - Triple New England / Hazy,4.5
807,Fall of the Rebel Angels (2020 Release),Sour - Fruited,4.04
808,Augmentation of Reality,Pilsner - Imperial / Double,4.19
809,Anno Domini MMXX,Stout - Milk / Sweet,4.4
810,Power of Rebellion,IPA - American,4.05
811,Laid Beneath the Dirt,Stout - Imperial / Double Milk,
812,How This Will End,IPA - Imperial / Double,4.32
813,A Sense of Somewhat Normalcy,IPA - American,4.28
814,I Used To Consider the Consequences,IPA - Imperial / Double,4.44
815,Nothing In Between,Sour - Other,3.99
816,The Power of Voice,IPA - American,3.91
817,Condemnation,IPA - Imperial / Double,4.24
818,Black Is Beautiful,Stout - Imperial / Double,4.31
819,From Precarious Places,Sour - Other,4.19
820,People Power IPA,IPA - American,4.06
821,In Between the Madness And Mortality,IPA - Triple,4.42
822,The Bedlam in a World of Endless Nonsense,Stout - Imperial / Double Coffee,4.47
823,The Lunar Pendulum of Vacant Light,Barleywine - Other,4.35
824,Panacea of Collective Consciousness,Pale Ale - American,3.94
825,An Infinite Nothing,Stout - Imperial / Double,4.58
826,Transformative Disfiguration,IPA - Imperial / Double,4.38
827,Reimagination of the Nonbeliever,Stout - Imperial / Double,4.45
828,Provision Lager,Lager - Strong,3.93
829,The Gravity of Weightless,Sour - Other,4.11
830,Things Unimaginable,IPA - American,4.28
831,Portal Between Genesis And Nonexistence,Stout - Imperial / Double,4.45
832,Magnificent Forever,Sour - Other,4.27
833,The Fate of All Things,IPA - Imperial / Double,4.36
834,A Cruel World Nevertheless,Stout - Imperial / Double,4.33
835,The Reverance In Ruin,IPA - American,4.07
836,When We Were the Sky,Sour - Traditional Gose,
837,The Bastards of Lucidity,Wild Ale - American,4.08
838,Never Said I Would Stay True,IPA - Imperial / Double,4.21
839,A Deranged Meditation of Nonsequitur,Stout - Imperial / Double,4.46
840,Casting Portents of Discontent,Brett Beer,3.63
841,Melty Wolf,IPA - Imperial / Double New England / Hazy,
842,Intangible Expressions of Sentient Minds,Sour - Fruited,4.19
843,The Distortion,IPA - Triple,4.46
844,Camp Confection (only at Forestry Camp),Stout - Imperial / Double,4.43
845,Invocation On the River of Laments,Bock - Doppelbock,3.9
846,Camp Spritz,Dark Ale,3.96
847,Apparitional Disintegration,IPA - Imperial / Double,4.32
848,Illusions of Enlightenment,IPA - Imperial / Double,4.22
849,A Mausoleum of Nonconformance,Stout - Imperial / Double,4.36
850,Everything Dies,Sour - Other,4.14
851,Blood Stained Idols,IPA - New England / Hazy,4.0
852,Until It Ceases To Be,IPA - Imperial / Double,4.35
853,"The Laughter, the Petulance, And the Scorn",IPA - Imperial / Double,4.36
854,The Shattered Remains of Nothingness,Stout - Imperial / Double,4.42
855,Forestry Camp Saison,Farmhouse Ale - Saison,
856,Evolved From Nothing,Stout - Imperial / Double,4.42
