,beer_names,style,07-30-2022
857,The Fortress of Immaculate Thought,Sour - Fruited,4.17
858,Interdimensional Amalgamation,IPA - Imperial / Double,4.35
859,Deformation,Pilsner - Other,3.97
860,Obelisk of Sinister Will,Lager - Vienna,3.85
861,Spectre In the Phenomenon,IPA - American,
862,A Spectre In the Phenomenon,IPA - American,4.16
863,Into the Well,IPA - Imperial / Double,4.24
864,A Question of Who And Why,IPA - American,4.11
865,Acquiescence of the Nonconformist,Stout - Imperial / Double,4.27
866,Things Saved For Prayer,Sour - Fruited,4.21
867,Levitation of the Overlord,Sour - Other,4.17
868,A Guillotine of Contemplation,IPA - Imperial / Double,4.32
869,Misfits of Reverberance,IPA - Imperial / Double,4.33
870,Malcontents of Dissonance,IPA - Triple,4.43
871,I'm Glad I'm Not Going Anymore It's Totally Miserable Out There,Stout - Imperial / Double,4.4
872,An Allowable Sense of Precaution,Stout - Imperial / Double,4.11
873,A Savage Kingdom of Madness,Stout - Imperial / Double,4.37
874,The Peace We Found In Tombs,Strong Ale - Other,4.31
875,From Grave To Glory,Sour - Fruited,4.18
876,Heavier Notions,Lager - American,3.95
877,Isn’t Enough,Stout - Imperial / Double Pastry,4.37
878,People Power Mild,Mild - Other,3.81
879,The Only Trail From Nowhere,Stout - Imperial / Double,4.43
880,Manifestations of Majestic Memoir,IPA - American,4.0
881,The Slow Down,IPA - Imperial / Double,4.33
882,A Brilliantly Deformed Corpse Nevertheless,Stout - Imperial / Double,4.47
883,Camp Pale,Pale Ale - American,3.85
884,The Fragility of Aging Beasts,IPA - American,4.06
885,The Riches of Regenerative Spectacle,Sour - Fruited,3.93
886,The Land of Many Moons,Farmhouse Ale - Saison,4.07
887,Cannibalistic Methodologies,IPA - Imperial / Double,4.39
888,The Demons That Reason With Me,IPA - Triple New England / Hazy,4.41
889,Forsaken Blatherings of Nonsequitur,Stout - Imperial / Double,4.45
890,Reason Being,Pilsner - Other,3.94
891,Feast of Suffering,IPA - Imperial / Double,4.33
892,This Blasphemous Laminated Lambasting Nonsensicalness,Stout - Imperial / Double,4.33
893,The Images We Left Behind,Sour - Other,4.09
894,When We Lived On Other Planets,IPA - American,4.05
895,Immolation of Hallowed Fields Smoked Porter,Smoked Beer,4.0
896,Postmodern Depictions of Natural Phenomena,IPA - Imperial / Double,4.37
897,The Menacing Aura of A World Believing In Nothing,Stout - Imperial / Double,4.56
898,Awakened In the Depths of the Neverending,Stout - Imperial / Double,4.49
899,The Opulence of What Once Was,IPA - Imperial / Double,4.32
900,Being Nowhere Going Everywhere,Porter - Other,4.0
901,Prophetmaker,Pale Ale - American,3.93
902,I Sit Among An Infestation of Useless Violence,IPA - Imperial / Double,4.4
903,Not A Thing Left To Say,IPA - Triple,4.5
904,The Searcher and the Savage is Me,IPA - American,4.06
905,Walking Through the Abyss Into Nowhere,Stout - Imperial / Double Pastry,4.51
906,End of Plagues,IPA - American,4.2
907,A Final Space For Lost Souls,IPA - Imperial / Double,4.38
908,A Faint Glimmer of Hope Notwithstanding,Stout - Imperial / Double,4.09
909,Apostles of Solitude,IPA - New England / Hazy,4.03
910,Perceptions of Carnage,IPA - Imperial / Double,4.41
911,Dark,Lager - Dark,3.96
912,Following Serpents,Sour - Other,4.08
913,Immortal Initiation of the Naysayer,Stout - Imperial / Double,4.4
914,Despite All This Lunacy,IPA - American,4.22
915,The Heavenly Atmosphere of Unrelenting Nothingness,Stout - Imperial / Double,4.48
916,Ulfbehrt Foudre-Aged,Porter - Baltic,4.05
917,Treme American Wild Ale,Wild Ale - American,
918,Heaven Is Wasted On the Dead,IPA - Imperial / Double,4.38
919,Salvation For None,Stout - Imperial / Double,4.3
920,Reflections of Disillusionment,IPA - Imperial / Double,4.26
921,Spectacle of Martyrdom,Mild - Dark,3.84
922,A Monolithic Theory of A Spirit Neverseen,Stout - Imperial / Double,4.49
923,Essence of Longevity,Sour - Other,3.97
924,Mirage of Forester,Stout - Imperial / Double,4.36
925,This Is Where I Left My Lucidity,IPA - Imperial / Double New England / Hazy,4.1
926,Above the Rippling Water,Cider - Ice / Applewine,
927,Preternatural Ambiance,IPA - Imperial / Double,4.37
928,A Methodical Monotony That Was Neverhere,Stout - Imperial / Double,4.41
929,Celebration of Evil,Bock - Doppelbock,
930,The Blood They Spilled,Sour - Other,3.97
931,Riches To Regenerative Spectacle,Sour - Fruited,
932,The Wake of Time's Cruel Slaughter Is Neverfading,Stout - Imperial / Double,4.47
933,Visuals Mulled Cider,Cider - Other Fruit,3.29
934,The Consequences of Humanity (2021 Release),IPA - Imperial / Double,4.35
935,And We Pray,Farmhouse Ale - Saison,3.95
936,Captive To Psychotic Urge,IPA - Triple,4.42
937,Victims Aren't We All,IPA - American,4.17
938,A Constant State of Panic,IPA - American,3.96
939,Mythologies of Realism,IPA - Imperial / Double,4.35
940,The Steady Resonance of Voices Neverheard,Stout - Imperial / Double,4.36
941,Evidence That Life Still Remains,IPA - American,4.24
942,Reptar Juice,IPA - American,
943,Welcome To H-E Double Hockey Sticks,Lager - Dark,4.0
944,A Chapel of Ease,IPA - Imperial / Double,4.24
945,The Hallowed Ascent of the Neverstill,Stout - Imperial / Double,4.5
946,Warpaint,IPA - American,4.2
947,In Between Ruin And Lucidity,IPA - Triple,4.42
948,Where Defining Boundaries And Crucial Logic Neverstood,Stout - Imperial / Double,4.38
949,Philosophical Ideologies of Moralistic Indignation,IPA - Imperial / Double New England / Hazy,4.34
950,This Morsel of Mortality Is Nevergone,Stout - Imperial / Double,4.27
951,A Lair of Perpetual Flourishing,Sour - Other,3.98
952,Somatic Effect,Lager - American,3.84
953,Go In Shadows,Sour - Other,3.76
954,Heavy Resin,IPA - Imperial / Double,4.19
955,Kindred Beings,IPA - New England / Hazy,4.12
956,Rust,Lager - Vienna,3.96
957,Increasingly Valid Form of Expression,Sour - Other,3.93
958,Philosophical Ideologies of Moralistic Indignation (NITRO),IPA - Imperial / Double,4.16
959,Philosophically the Same,IPA - American,
960,A Glut of Cerebral Nomenclatures,IPA - American,3.99
961,A Rather Genuine Expression of Apathy,IPA - American,4.12
962,Paradoxical Contemplations of Nonsequitur,Stout - Imperial / Double,4.37
963,Go In Shadows,Sour - Other,4.03
964,Imaginative Exaggeration,IPA - Imperial / Double,4.38
965,Have Everything And Have Nothing At All,Pilsner - Other,3.94
966,These Damning Theories of Nonesuch,Stout - Imperial / Double,4.45
967,But For Societal Constraints,Farmhouse Ale - Saison,3.94
968,"A 1993 Portrait of Karmic Existence, Where the Ability To Stop Time Was Neverthere",Stout - Imperial / Double Coffee,4.57
969,It Gives Them Purpose In A World Where They Do Nothing,Stout - Imperial / Double,4.45
970,Altar of the Shunned,IPA - American,4.12
971,Bourbon Barrel Aged Strong Ale,Strong Ale - Other,
972,Whatever You're After It's Not Inside,IPA - Imperial / Double,4.27
973,And Just Don't Die This Time,IPA - American,4.14
974,A Saying of Prayers,Barleywine - Other,4.18
975,Playoff Mode,Lager - Dark,4.03
976,A Space For Sacrilege,Sour - Other,3.87
977,Cryptic Hymns,Bock - Hell / Maibock / Lentebock,3.93
978,A Portrait of Discombobulated Sanctimony,IPA - Imperial / Double,4.34
979,Skillet Snacks,Stout - Pastry,4.08
980,Divination of the Prophetess,Pale Ale - American,3.93
981,Mango Crush,Sour - Fruited,
982,Tiramisu Skillet,Stout - Coffee,4.02
983,Spice World Skillet,Stout - Coffee,4.03
984,Toast Yay Skillet,Stout - Coffee,4.11
985,Irish Slammer Skillet,Stout - Coffee,4.04
986,Ascent of the Blessed (2021),Sour - Fruited,4.01
987,The Everlasting Is A Pathway For No One,Stout - Imperial / Double,4.35
988,Total Disbelief in All Reality,IPA - American,4.16
989,Skillet Macchiato,Stout - Coffee,
990,Into Dust,IPA - Imperial / Double,4.32
991,Fall of the Rebel Angels (2021 Release),Sour - Fruited,4.08
992,Normal Is Damnation’s Insult,IPA - American,4.18
993,Of A Dying Season,Mead - Other,
994,Pursuit,Lager - Helles,3.96
995,With Nothing But A Clear Conscience,IPA - Triple New England / Hazy,4.44
996,Deliberate Distortions of Truth,IPA - Imperial / Double,4.38
997,Duh,IPA - American,4.02
998,Humanity Is A Wasteland of Boredom,Pilsner - Other,4.02
999,Eighth Passing,Stout - Imperial / Double,4.48
1000,Anno Domini MMXXI,Stout - Imperial / Double,4.52
1001,The Pursuit of Clarity,Lager - Helles,
1002,Dirty Monkey,Stout - Coffee,
1003,Your Compliance Is Strongly Suggested,Stout - Imperial / Double,4.46
1004,Naturally Tangential Fascinations,IPA - Imperial / Double,4.28
1005,A Moment of Clandestine Barbarism,Wheat Beer - Witbier / Blanche,3.77
1006,The Garden of Earthly Delights VII (2021),Farmhouse Ale - Saison,4.08
1007,Deathproof,IPA - Imperial / Double Milkshake,4.18
1008,I Made This Map Myself,IPA - Imperial / Double,4.37
1009,One of Us Will Have To Bury the Other,Lager - American,4.11
1010,Subjective Interpretation Is An Understanding Nevertheless,Stout - Imperial / Double,4.41
1011,Waxarita,Sour - Other,
1012,Baby Bull,Pale Ale - American,3.87
1013,A Summer Moment In Hawaii,Wheat Beer - Other,
1014,A Canvas of Fragmented Memoirs,IPA - American,4.06
1015,Creamsicle IPA,IPA - American,
1016,Seekers Aren’t We All,IPA - American,4.13
1017,A Curious Volume of Forgotten Lore,IPA - Triple,4.36
1018,Spectral Embrace of the Breathless,IPA - American,4.01
1019,Coke A Bolo,Sour - Other,
1020,A Deeper Dissection of Harvest,IPA - Imperial / Double,4.43
1021,Excommunication From the Altar of Nonconformity,Stout - Imperial / Double,4.05
1022,The Keeper's Veil,Honey Beer,3.87
1023,Put Youth Behind You,Sour - Other,3.93
1024,Idol Dereliction,IPA - American,
1025,To Wear Their Bones Across My Shoulders,IPA - American,4.06
1026,Death Be No Escape in the Valley of the Neverstill,Stout - Imperial / Double,4.45
1027,Bright,Pilsner - Italian,3.92
1028,The Manifesto,IPA - Triple New England / Hazy,4.37
1029,Precipice of Self-Immolation,IPA - American,4.07
1030,Burial Visuals,Sour - Other,4.19
1031,Burial Bolo Nitro,Brown Ale - Other,4.17
1032,Beneath the Tides of Relative Impermanence,IPA - Imperial / Double,4.33
1033,Ancestral Destiny,Lager - Vienna,3.95
1034,Idyllic Perspectives of Nonsequitur,Stout - Imperial / Double,4.06
1035,The Wretched Pit of Identity,IPA - American,3.96
1036,Radiate Indefinitely,Cider - Other Fruit,3.87
1037,The World Is Not My Home,Sour - Fruited,4.05
1038,Pardoned of Our Demons,Sour - Other,4.01
1039,Tou Cant Get There From Here (prickly Pear And Pink Guava),Sour - Fruited Gose,
1040,Lessons In Solitude: Portrait I,IPA - American,3.95
1041,A Conscious Decision For Brevity,Farmhouse Ale - Saison,3.74
1042,Storied Relics of Death's Certain Path,IPA - Imperial / Double,4.18
1043,The Paranormal Electricity of Trans-Pacific Airwaves,IPA - American,4.18
1044,Lessons In Solitude: Portrait II,Stout - Imperial / Double,4.33
1045,Salted Caramel Espresso Imperial Stout Frappe Slushie,Stout - Imperial / Double Coffee,4.1
1046,We Go In Shadows,Sour - Fruited,
1047,And Heathens We Shall Be,IPA - Imperial / Double,4.31
1048,Feather From the Ashes,IPA - American,3.96
1049,A Subtle Explanation of Fate's Role In Nothing,Stout - Imperial / Double,4.42
1050,Camp Bier,Traditional Ale,3.78
1051,To Drain Blood From the Night Sky,IPA - Imperial / Double,4.27
1052,A Ravenous Yearning For Lessons of Old West Coast,IPA - American,4.04
1053,Lessons of Solitude,Stout - Coffee,
1054,All You've Found at the Apex of Insanity,IPA - American,4.15
1055,An Odyssey In Continuity Nonetheless,Stout - Imperial / Double,4.39
1056,Thresher,Farmhouse Ale - Other,3.81
1057,Deformation,Pilsner - Other,
1058,Show A Little Faith,IPA - Triple,4.28
1059,A Harbinger of Societal Doom,IPA - American,3.96
1060,In the Wake of Destruction,Sour - Fruited,4.12
1061,Harvest Jam 2021,Pale Ale - American,
1062,And Now At the Moment of Our End,IPA - Triple,4.37
1063,In the Midst of Cruel Abandon,IPA - Imperial / Double,4.31
1064,Mystic Caravan,IPA - American,3.94
1065,The World the Mortals Returned,Stout - Imperial / Double,4.38
1066,A Place of Calm Abiding,Stout - Imperial / Double,4.31
1067,The Space Where the Supernatural Roam,Stout - Imperial / Double,4.44
1068,Too Much To Bear,Strong Ale - Other,4.25
1069,A Moderation that was Within Reach,Sour - Fruited,4.18
1070,Cosmic Dust (2021),Sour - Other,
1071,Without Which I Would Never Be,Sour - Other,3.97
1072,Hurricane IPA Slushie,IPA - American,
1073,Instructions for the Underworld,IPA - American,4.11
1074,Preternatural Deviance,IPA - Triple,4.37
1075,When Destiny Fails And We All Disappear,IPA - Imperial / Double,4.31
1076,The Farewell To Foes We Neversaid,Stout - Imperial / Double,4.34
1077,"Before Us, Above Us, Within Us",Farmhouse Ale - Saison,3.91
1078,The Separation of Light And Darkness With Peaches And Nectarines (2021 Harvest),Sour - Fruited,4.1
1079,Ladybirds And the Bees (2021),Sour - Other,
1080,We Were Lost On Our Way Home,IPA - Imperial / Double,4.01
1081,Things We See in Our Heads Are Realities Nevertheless,Stout - Imperial / Double,4.27
1082,Deliverance From the Other Side,Bock - Hell / Maibock / Lentebock,3.96
1083,In the Fog,Cider - Dry,3.8
1084,Isolated In Digital Blatherings,IPA - American,4.13
1085,A Disorientation Along the Path To Nowhere,Stout - Imperial / Double,4.43
1086,Flying Lizard,Sour - Fruited,
1087,We All Shall Stray From This Ordained Path,Sour - Fruited,3.94
1088,False Fruit,Sour - Fruited,
1089,In Between Dystopia And Desire,IPA - Triple,4.43
1090,The Depiction of A Comfort Neverknown,Stout - Imperial / Double,4.32
1091,To Ascend Into the Abstract,IPA - Imperial / Double,4.33
1092,Forborne Desires of the Malignant,Farmhouse Ale - Saison,3.94
1093,Back From the Bends,IPA - Triple,4.32
1094,The Second Congregation of the Extraterrestrial Occult,IPA - American,4.2
1095,For It Inspires Revelatory Journeys To No Place,Stout - Imperial / Double,4.34
1096,The Prolific Expanse of Descriptive Nomenclature,IPA - American,4.03
1097,Careless Indulgence,Lager - Dark,3.98
1098,The Deception of Innocence,IPA - Imperial / Double,4.3
1099,Ultralight,Lager - Helles,3.95
1100,The Slaughter of the Pure,IPA - American,3.85
1101,Morphic Resonance of Human Frequencies,IPA - Imperial / Double,4.28
1102,Intrinsic Dialogue of Mortal Wavelengths,IPA - Triple,4.36
1103,Whatever You Must,Sour - Other,3.94
1104,Meditative Variations On the Sanctum of the Unholy,Stout - Imperial / Double,4.42
1105,"Utah, Get Me Two",Lager - Helles,
1106,Plague of Ends,IPA - American,4.13
1107,An Adoration of the Unnatural,Stout - Imperial / Double,4.34
1108,Frozen Relics of A Moving World,Farmhouse Ale - Saison,3.95
1109,Standing In A Shaft of Light,IPA - Sour,3.72
1110,That Which Induces Boundless Experience,IPA - American,4.18
1111,May We Walk in Their Shadows Forever,IPA - Imperial / Double,4.37
1112,The Abominable Damnation of Creatures Nevertold,Stout - Imperial / Double,4.46
1113,Iridescent Illusions in a Microcosm,IPA - American,3.96
1114,I Once Left My Mind In A Bed-Stuy Juice Bar,IPA - Triple New England / Hazy,4.41
1115,I Used To,IPA - Imperial / Double,4.29
1116,There Is Only Perception Where Fact Once Laid,IPA - American,4.09
1117,Where Everything Was Perfect in the Pits of Aimless Dissatisfaction,Stout - Imperial / Double,4.42
1118,Amendment of Carnivorous Habits,Pilsner - Other,3.82
1119,Dusk,Lager - Dark,4.06
1120,The Continual Spectrum of Human Introspection,IPA - Triple New England / Hazy,4.41
1121,Gang of Blades (2022 And Beyond),IPA - Imperial / Double,4.22
1122,What You Were Given And What You Found Along the Way,Stout - Imperial / Double,4.4
1123,Terrestrial Requiem,Porter - American,3.76
1124,For All We Were Meant To Be,IPA - American,4.09
1125,Shaped By the Inevitable Sands of Time,Cider - Dry,
1126,Shaped By the Inevitable Passing of Time,Cider - Dry,
1127,All We Want Is Everything,IPA - Imperial / Double New England / Hazy,4.29
1128,All We Become Is Just Dirt In the Ground,IPA - Imperial / Double,4.34
1129,Extra,Pilsner - Other,3.94
1130,The Gospel Remains Unattainable,Stout - Imperial / Double,4.41
1131,Heretical Ascendency,Lager - Helles,3.73
1132,Here Comes Your Ghost Again,Sour - Other,4.0
1133,Above the Threshold of Hell,IPA - American,4.2
1134,This Existential Residue Has Transformed Into Absolutely Nothing,Stout - Imperial / Double,4.45
1135,The Mechanistic Unraveling of Circadian Rhythms,IPA - Imperial / Double,4.31
1136,Vehement Antipathy For the Unrealistic,Stout - Imperial / Double,4.42
1137,Entombed In Collapsing Consciousness,Porter - Other,
1138,The Vessels That Lifted Us To the Afterworld,Lager - Dark,4.06
1139,Adrift Within A Boundless Blaze,Sour - Berliner Weisse,3.84
1140,Enlightened Aren't We All,IPA - American,4.15
1141,The End Comes Before the Beginning,Porter - Other,3.97
1142,Abstract Opulence: Illusion 1,Cream Ale,4.17
1143,The Elasticity of Self,Farmhouse Ale - Saison,3.74
1144,Black Rye Lager,Lager - Dark,
1145,I Knew You Before You Even Existed,IPA - Imperial / Double,4.33
1146,Fade,Lager - Dark,3.95
1147,Downtown Rulers,IPA - American,3.96
1148,Until Madness Subsides We Remain Neverstill,Stout - Imperial / Double,4.46
1149,Illuminated Curiosities,IPA - New England / Hazy,
1150,Unrealistic Zombie,Sour - Other,
1151,Lost In the Vapors,IPA - American,4.16
1152,A Pontificating Diatribe of Nonsequitur,Stout - Imperial / Double,4.48
1153,A Vulgar Mutilation of Truth,IPA - American,4.15
1154,Blackberry Farm,Farmhouse Ale - Saison,
1155,Abstract Opulence: Illusion 2,Cream Ale,4.14
1156,A Portal Through the Continuum of Nonexistence,Stout - Imperial / Double,4.46
1157,The Cruel Specter of Uncertainty,Stout - Irish Dry,3.83
1158,Never Try to Look Away From the Light,IPA - American,3.84
1159,A Guide To Safely Stewarding the Contents of One’s Consciousness,IPA - Imperial / Double New England / Hazy,4.34
1160,We Are Here Forever Saison,Farmhouse Ale - Saison,3.95
1161,The Unfathomable Duality of Being,Lager - Dark,4.02
1162,Just To Be Disoriented and Staring Into Middle Distance,IPA - American,4.18
1163,Not All the Spoils Are Rancid Uselessness,Stout - Imperial / Double,4.46
1164,Extra Dry-Hopped American Pilsner,Pilsner - Other,
1165,8th Nail,Sour - Other,
1166,For We Shall Wander this Road to Oblivion,IPA - Triple New England / Hazy,4.44
1167,Fall of the Rebel Angels (2022 Release),Sour - Fruited,4.01
1168,A Postulation On Precarious Thought And Transient Delusion,IPA - Imperial / Double,4.33
1169,Abstract Opulence: Illusion 3,Cream Ale,4.05
1170,Necessity For Transformation,IPA - American,4.17
1171,Never Forgotten Triumphs,IPA - American,3.96
1172,Billhook Dry-Hopped Saison (2022),Farmhouse Ale - Saison,3.69
1173,Pina Colada IPA,IPA - American,
1174,Because There Will Always Be Something More,IPA - American,4.18
1175,Augment the Illusion,Cider - Other Fruit,3.67
1176,A Fully Experienced Sense of Being,IPA - Triple New England / Hazy,4.29
1177,It Was Too Late To Quantify the Dangers of Imaginative Misrepresentation,Stout - Imperial / Double,4.42
1178,Since We All Return To Dirt,Sour - Fruited,4.03
1179,Amalgamated Impulses At the Temple of Thought,IPA - Imperial / Double New England / Hazy,4.38
1180,Walking Through the Abyss Into Nonsequitur,Stout - Imperial / Double,4.5
1181,Cosmic Integration,IPA - American,3.97
1182,The Prayer Biere De Abricot,Fruit Beer,
1183,Curious Interactions With Cognitive Dissonance,IPA - American,4.19
1184,Sharp,Bock - Hell / Maibock / Lentebock,3.94
1185,Whale Watching: Part of A Complete Breakfast,Stout - Imperial / Double Pastry,
1186,The Third Fellowship of the Extraterrestrial Occult,IPA - American,4.21
1187,Skillet Cakes,Stout - Coffee,4.3
1188,Seasoned Skillet (2022),Stout - Imperial / Double,4.4
1189,An Actuality Rife With Frequent Unavailability,Farmhouse Ale - Saison,3.89
1190,Should You Ever Awaken From This Impossible Illusion,Pale Ale - American,4.13
1191,Only Then Shall You Truly Exhibit the Symptom of Death,IPA - Imperial / Double,4.37
1192,The Pattern of Devastation We Became,IPA - American,3.96
1193,The Ostensible Realities of Fanatical Unforgiveness,Stout - Imperial / Double,4.46
1194,Garden of Earthly Delights VIII (2022),Farmhouse Ale - Saison,4.08
1195,Phantoms of Self,IPA - American,4.08
1196,Dissolution of the Ego,IPA - Imperial / Double,4.16
1197,Abstract Opulence: Illusion 4,Cream Ale,4.02
1198,In the Absence of Forbidden Magic,IPA - American,3.9
1199,Za'atar Skillet,Stout - Coffee,4.08
1200,Hazelnut French Toast Skillet,Stout - Coffee,3.93
1201,Chai Skillet,Stout - Coffee,3.9
1202,Jelly Chocolate Donut Skillet,Stout - Coffee,3.93
1203,A Remedy For Utmost Dissatisfaction,Farmhouse Ale - Saison,
1204,The Clandestine Quest of Wayward Creatures,IPA - American,4.04
1205,Formed By Involuntary Responses To Experiential Stimuli,IPA - Imperial / Double New England / Hazy,4.3
1206,The Incongruence Between What We Know And What We Pretend To Be,IPA - Triple,4.31
1207,Perspectives From the Ninth Sense,Pilsner - Other,3.91
1208,Unavoidable Narrative,Pilsner - Czech,4.1
1209,This Legacy Is An Obstruction To Unbridled Curiosity,Stout - Imperial / Double,4.41
1210,Ninth Passing,Stout - Imperial / Double,4.47
1211,Anno Domini MMXXII,Stout - Imperial / Double,4.28
1212,Fall of the Damned (2022 Release),Sour - Fruited,4.12
1213,A Memoir of Truly Surreal Times,IPA - American,4.14
1214,The Wretched Exile of the Unrepentant,Stout - Imperial / Double,4.45
1215,Unrealistic Appraisals of Character,Sour - Other,4.02
1216,Hope Is As Hollow As Fear,IPA - Triple New England / Hazy,4.38
1217,All You Know For Certain Is That You Know Absolutely Nothing At All,Stout - Imperial / Double,4.38
1218,An Imperceptible Everything,Farmhouse Ale - Saison,3.91
1219,Mojito Seltzer,Hard Seltzer,
1220,At the Mercy of Our Manifestations,IPA - Imperial / Double,4.26
1221,Billows Dry-Hopped Kolsch (2022),Kölsch,4.0
1222,Portal Near the Bounds of Nonexistence,Stout - Imperial / Double,4.5
1223,A Functional Assessment of Mortality,IPA - American,4.02
1224,We Are All Just One Step Away,IPA - Imperial / Double,4.33
1225,What if There’s Another World,IPA - American,4.06
1226,In Different Spaces And In the Same,IPA - Imperial / Double,4.13
1227,Permeate the Mind,Cider - Perry,
1228,A Collection of Idiocy From A Top Notch Moron,IPA - Imperial / Double,
1229,Treading Onward Towards Oblivion,IPA - Imperial / Double,
1230,Provincial Illusions of Antiquity,IPA - American,
1231,Tonin' the Destroyer,IPA - American,4.18
1232,Please Rescue Me From My Own Ignorant Barrage of Nonsequitur,Stout - Imperial / Double,4.48
1233,Burial the Legacy Is An Obstruction To Unbridled Curiosity,Stout - Imperial / Double,
